"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.632590640E-1,-6.154710054E-1,8.719110489E-1,-1.786285400E0,2.080828914E0
1.657226790E-1,-6.290442944E-1,9.501907825E-1,-1.693148613E0,2.040909472E0
1.681839200E-1,-6.163730621E-1,9.569804668E-1,-1.577540398E0,1.945343433E0
1.706475350E-1,-5.409766436E-1,9.284863472E-1,-1.536450386E0,1.874945976E0
1.731086890E-1,-4.924125671E-1,8.365342617E-1,-1.496955395E0,1.784134289E0
1.755723040E-1,-4.561004639E-1,8.672196865E-1,-1.530351639E0,1.817160905E0
1.780335350E-1,-4.176559448E-1,8.920824528E-1,-1.558807373E0,1.843943605E0
1.804971320E-1,-3.803080320E-1,9.555950165E-1,-1.678564548E0,1.968597211E0
1.829583620E-1,-3.109490871E-1,9.706349373E-1,-1.805177689E0,2.073038351E0
1.854219780E-1,-2.677459717E-1,1.010877132E0,-1.923210144E0,2.189131732E0
1.878831320E-1,-2.514081001E-1,1.018954515E0,-2.044772148E0,2.298383666E0
1.903467470E-1,-2.507866621E-1,1.033088207E0,-2.203701973E0,2.446725890E0
1.928079820E-1,-2.646338940E-1,1.025274515E0,-2.416382313E0,2.638204391E0
1.952715970E-1,-2.579343319E-1,1.085172176E0,-2.575053692E0,2.806248437E0
1.977327510E-1,-2.767484188E-1,1.065577269E0,-2.698815823E0,2.914730081E0
2.001963660E-1,-2.669980526E-1,9.929008484E-1,-2.759099960E0,2.944447766E0
2.026575970E-1,-3.098182678E-1,7.982630730E-1,-2.727972031E0,2.859203157E0
2.051212370E-1,-4.768382311E-1,7.305002213E-1,-2.612142086E0,2.753959250E0
2.075824670E-1,-6.913175583E-1,7.349576950E-1,-2.403789997E0,2.606969338E0
2.100460830E-1,-7.060151100E-1,8.977658749E-1,-2.206788540E0,2.484825258E0
2.125072370E-1,-6.264139414E-1,1.054628611E0,-1.890197754E0,2.253327202E0
2.149708520E-1,-4.673858881E-1,1.321700096E0,-1.618181229E0,2.140993041E0
2.174320980E-1,-5.073951483E-1,1.469644547E0,-1.399953365E0,2.092169772E0
2.198957130E-1,-5.739718676E-1,1.609661818E0,-1.226336002E0,2.103415048E0
2.223569440E-1,-7.251522541E-1,1.689034462E0,-1.111614227E0,2.148108330E0
2.248205590E-1,-8.590558767E-1,1.751587391E0,-1.004469872E0,2.194309712E0
2.272817130E-1,-9.930185080E-1,1.728769779E0,-9.216184616E-1,2.196385962E0
2.297453330E-1,-1.032915115E0,1.784263372E0,-9.013175964E-1,2.250085071E0
2.322065630E-1,-1.071465731E0,1.802636385E0,-9.030046463E-1,2.283189466E0
